"Sygnatura czasowa","Płeć:","Wiek:","Wykształcenie:","Proszę zaznaczyć swoje powiązanie z branżą hotelarsko - gastronomiczną","Proszę zaznaczyć rodzaj prowadzonej działalności HoReCa:","Województwo, w którym znajduje się hotel/restauracja:","Większość przychodów przed pandemią pochodziło z obsługi:","Czy w ciągu ostatnich 12 miesięcy zauważono spadek przychodów? ","Która fala pandemii była bardziej dotkliwa dla przedsiębiorstwa?","Czy koszty prowadzenia przedsiębiorstwa w ciągu ostatnich 12 miesięcy wzrosły?","Ilość osób zatrudnionych na umowę o pracę oraz umowy cywilnoprawne (umowa zlecenie, umowa o dzieło, samozatrudnienie itp.)","Czy konieczna była redukcja zatrudnienia?","Czy w obliczu obecnie organizowanych spotkań online pobyty grupowe/konferencje/uroczystości rodzinne wrócą do stanu sprzed pandemii?","Czy pomoc Państwa (Rządu) była według Pani/Pana wystarczająca aby pokryć koszty oraz straty spowodowane pandemią COVID-19?","Z jakiej pomocy Rządu udało się skorzystać?","Które obostrzenia związane z pandemią znacząco wpłynęły na obniżenie obrotów w przedsiębiorstwie według Pani/Pana?","Które wprowadzone znoszenie obostrzeń pozwoliło zredukować straty w przedsiębiorstwie?","Czy próbowała/próbował Pani/Pan stosować w swoim przedsiębiorstwie wymienione poniżej sposoby przeciwdziałania negatywnym skutkom pandemii COVID-19?","Czy wyżej wymienione próby przyniosły wymierny skutek?","W jakim dziale pracowałaś/pracowałeś przed rozpoczęciem pandemii?","Jesteś zatrudniona/zatrudniony w miejscowości:","Forma zatrudnienia:","Czy straciłaś/straciłeś pracę?","Czy konieczne było przekwalifikowanie się?","Czy koniecznym było wybieranie urlopu/opieki?","Czy w firmie w której pracujesz zmieniała się struktura zatrudnienia (ilość osób)?","Jak oceniasz podejście osób zarządzających do spraw pracowników w obliczu ciężkiej sytuacji?","Czy w związku z pandemią dało się odczuć strach przed zakażeniem się?","Czy wystąpiły trudności organizacyjne pracy w związku z wprowadzeniem obostrzeń?","Czy wydłużył się czas wykonywania obowiązków zawodowych w związku z obostrzeniami?","Czy obsługa gości w maseczkach powodowała duży dyskomfort?","Czy goście stosowali się do obowiązujących obostrzeń (noszenie maseczek, dystans społeczny)?","Czy w Twoim miejscu pracy odbyła się kontrola sanepidu/policji (przestrzeganie obostrzeń)?","Czy zaobserwowałaś/zaobserwowałeś zmniejszone obroty w miejscu, w którym pracujesz?","Z jakich usług hotelarsko - gastronomicznych korzystałeś najczęściej podczas pandemii?","Czy obawiałeś się korzystać z hoteli, restauracji, cateringu?","Czy w ciągu 12 miesięcy częściej korzystałeś z aplikacji, portali internetowych w celu zamówienia usług hotelarsko - gastronomicznych (pyszne.pl, booking.com)?","W celach wypoczynkowych najchętniej wybrałabym/wybrałbym - w związku z COVID-19:","Czy wybierając hotel/restaurację kierowałeś się kryterium, które gwarantowało przestrzeganie wytycznych sanitarnych (np. Obiekt bezpieczny higienicznie)?","Czy zauważyłeś zmiany związane z jakością usług podczas pandemii?","Urlop, wolne weekendy w większości udało się spędzić:","Czy planując pobyt hotelowy musiałeś zrezygnować/zmienić datę pobytu?","Czy w przypadku rezygnacji udało się odzyskać pieniądze z zadatku/zaliczki?","Czy opcja bonu turystycznego zachęciła Cię do spędzenia urlopu w Polsce? ","Czy wprowadzenie dodatkowych obostrzeń (np. zamknięcie basenu, restauracji, siłowni) zniechęciłoby Cię do wyjazdu rekreacyjnego?","Czy strajki przedsiębiorców, akcje zachęcające do ratowania polskiej turystyki oraz informacje płynące z rynku o coraz słabszej sytuacji w finansowej wielu przedsiębiorstw zachęciły Cię do wspierania branży hotelarsko - gastronomicznej","Jak wspierałeś branże hotelarsko – gastronomiczną?","Czy w Twojej ocenie pomoc Rządu była wystarczająca aby pokryć koszty oraz straty spowodowane pandemią COVID-19? "
"2021/04/12 4:05:18 PM EET","Kobieta","16-24 lat","Średnie","Konsument/gość","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Catering, posiłki na wynos;Restauracja stacjonarnie","Nie","Nie","Pensjonat - ośrodek prywatny","Nie","Pozostała na tym samym poziomie.","W domu","Nie dotyczy","Nie dotyczy","Nie dotyczy","Tak","Tak","Regularne zamawianie jedzenia na wynos.","Nie"
"2021/04/12 4:09:38 PM EET","Kobieta","16-24 lat","Średnie","Pracownik","","","","","","","","","","","","","","","","Gastronomia","Turystycznej - góry","Umowy cywilnoprawne (umowa zlecenie, umowa o dzieło)","Tak","Nie","Tak","Nikogo nie zwolniono, nikogo nie zatrudniono.","Dobre, pracodawca stara się utrzymać miejsca pracy.","Tak","Tak","Tak, nieznacznie","Tak","Tak","Nie","Tak","","","","","","","","","","","","","",""
"2021/04/12 4:13:08 PM EET","Kobieta","41-55 lat","Średnie","Pracownik","","","","","","","","","","","","","","","","Gastronomia","Turystycznej - góry","Umowa o pracę","Nie","Nie","Tak","Nikogo nie zwolniono, nikogo nie zatrudniono.","Biernie, nie wiadomo czego się spodziewać.","Nie","Tak","Tak, nieznacznie","Tak","Nie","Tak","Tak","","","","","","","","","","","","","",""
"2021/04/12 4:13:19 PM EET","Kobieta","16-24 lat","Wyższe","Konsument/gość","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Catering, posiłki na wynos","Tak, obawa o otrzymanie mandatu.","Nie","Apartamenty","Nie","Pozostała na tym samym poziomie.","W domu","Nie dotyczy","Nie dotyczy","Nie dotyczy","Tak","Nie","Nie wspierałem","Nie"
"2021/04/12 4:14:34 PM EET","Kobieta","25-40 lat","Wyższe","Konsument/gość","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Catering, posiłki na wynos","Nie","Nie","Hotel","Nie","Pozostała na tym samym poziomie.","W domu","Nie dotyczy","Nie dotyczy","Nie dotyczy","Tak","Tak","Regularne zamawianie jedzenia na wynos.","Nie"
"2021/04/12 4:18:25 PM EET","Kobieta","16-24 lat","Średnie","Konsument/gość","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Catering, posiłki na wynos","Tak, obawa o zdrowie.","Tak","Hotel","Tak","Zmniejszyła się","W domu","Nie dotyczy","Nie dotyczy","Nie dotyczy","Nie","Tak","Regularne zamawianie jedzenia na wynos.","Nie"
"2021/04/12 4:19:07 PM EET","Mężczyzna","16-24 lat","Średnie","Konsument/gość","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Catering, posiłki na wynos;Restauracja stacjonarnie","Nie","Tak","Domki letniskowe","Nie","Pozostała na tym samym poziomie.","Poza domem - w Polsce","Tak","Nie dotyczy","Nie","Tak","Tak","Regularne zamawianie jedzenia na wynos.;Spędziłem urlop, wakacje w Polsce.","Nie"
"2021/04/12 4:19:28 PM EET","Mężczyzna","25-40 lat","Średnie","Konsument/gość","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Pobyt hotelowy;Restauracja stacjonarnie","Nie","Nie","Hotel","Nie","Pozostała na tym samym poziomie.","W domu","Nie","Nie","Nie dotyczy","Tak","Tak","Regularne zamawianie jedzenia na wynos.","Nie"
"2021/04/12 4:26:10 PM EET","Kobieta","16-24 lat","Wyższe","Konsument/gość","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Catering, posiłki na wynos","Tak, obawa o otrzymanie mandatu.","Tak","Domki letniskowe","Tak","Pozostała na tym samym poziomie.","W domu","Nie dotyczy","Nie dotyczy","Nie dotyczy","Tak","Tak","Regularne zamawianie jedzenia na wynos.","Nie"
"2021/04/12 4:26:52 PM EET","Kobieta","25-40 lat","Średnie","Pracownik","","","","","","","","","","","","","","","","Gastronomia","Turystycznej - góry","Umowa o pracę","Nie","Nie","Tak","Nikogo nie zwolniono, nikogo nie zatrudniono.","Biernie, nie wiadomo czego się spodziewać.","Tak","Nie","Tak, znacznie","Nie","Nie","Tak","Tak","","","","","","","","","","","","","",""
